region_id,sector,year,treatment,population,unemployment_rate,gdp_per_capita,exports_per_capita,fdi_inflow,avg_wage
1,Agriculture,2006,0,49868,0.092,20142,5736,263,15.67
1,Agriculture,2007,0,44875,0.051,20125,6171,185,14.39
1,Agriculture,2008,0,50832,0.108,21139,6612,195,16.85
1,Agriculture,2009,0,50780,0.09,20639,6490,205,18.01
1,Agriculture,2010,1,40595,0.071,25070,8394,380,19.47
1,Agriculture,2011,1,48837,0.097,21741,7046,200,20.54
1,Agriculture,2012,1,37943,0.083,25486,6738,270,18.51
1,Agriculture,2013,1,64273,0.047,21037,7495,227,19.73
1,Agriculture,2014,1,48318,0.098,22809,6722,202,20.88
1,Agriculture,2015,1,55527,0.111,24562,7545,246,23.74
2,Services,2006,0,45589,0.07,18775,5748,187,16.23
2,Services,2007,0,41358,0.084,22412,6266,173,16.03
2,Services,2008,0,44739,0.07,19744,5780,158,21.82
2,Services,2009,0,42645,0.081,23571,7088,204,12.57
2,Services,2010,0,56913,0.098,21166,5851,173,16.81
2,Services,2011,0,58839,0.095,18235,4666,170,19.58
2,Services,2012,0,37471,0.09,21193,6216,247,20.19
2,Services,2013,0,52275,0.058,23490,7617,156,16.71
2,Services,2014,0,62930,0.078,23925,7358,239,19.09
2,Services,2015,0,57648,0.063,21260,5919,168,19.32
3,Services,2006,0,54931,0.04,20177,5751,152,17.74
3,Services,2007,0,47380,0.075,19006,5985,173,14.03
3,Services,2008,0,44585,0.089,22942,7199,115,15.26
3,Services,2009,0,70133,0.083,20349,6194,139,16.08
3,Services,2010,1,45073,0.071,23019,7410,201,15.7
3,Services,2011,1,54126,0.086,23315,6445,287,17.8
3,Services,2012,1,58119,0.092,22905,6446,194,18.1
3,Services,2013,1,43432,0.089,22723,6898,242,20.14
3,Services,2014,1,51616,0.084,23766,6497,205,19.16
3,Services,2015,1,31627,0.119,22596,6814,227,19.46
4,Services,2006,0,53664,0.088,20129,6573,229,14.08
4,Services,2007,0,50608,0.075,23047,6990,96,19.6
4,Services,2008,0,39403,0.123,20655,6237,218,15.7
4,Services,2009,0,55445,0.08,18857,5850,214,16.59
4,Services,2010,0,60060,0.097,21988,6687,156,15.85
4,Services,2011,0,52066,0.077,22259,6990,232,20.22
4,Services,2012,0,44683,0.053,21896,7071,167,17.6
4,Services,2013,0,51959,0.09,22859,6909,132,22.05
4,Services,2014,0,57152,0.098,22617,6298,143,17.29
4,Services,2015,0,57772,0.133,24106,7113,233,22.35
5,Services,2006,0,59266,0.086,18804,5946,310,14.55
5,Services,2007,0,58481,0.067,21716,6168,182,16.23
5,Services,2008,0,60726,0.102,20086,6525,242,19.34
5,Services,2009,0,47793,0.064,22924,6339,175,15.05
5,Services,2010,1,54003,0.064,21065,6593,333,19.86
5,Services,2011,1,56279,0.079,23047,6780,229,16.56
5,Services,2012,1,49082,0.081,24226,7357,242,16.61
5,Services,2013,1,37443,0.084,22546,6814,218,20.67
5,Services,2014,1,43549,0.107,25080,5932,240,17.63
5,Services,2015,1,51030,0.057,20097,6024,266,21.15
6,Services,2006,0,55667,0.072,18486,5267,175,15.88
6,Services,2007,0,46798,0.087,20902,6335,178,16.31
6,Services,2008,0,58985,0.042,23295,6549,128,17.54
6,Services,2009,0,52533,0.089,21756,6837,225,16.6
6,Services,2010,0,26007,0.101,21998,6270,170,17.93
6,Services,2011,0,46641,0.062,19392,5957,211,20.08
6,Services,2012,0,43459,0.11,21696,5961,213,19.03
6,Services,2013,0,64214,0.072,19611,6327,172,18.75
6,Services,2014,0,48811,0.098,20452,7593,182,18.41
6,Services,2015,0,43471,0.099,23331,7137,188,17.7
7,Manufacturing,2006,0,47490,0.043,18604,5329,172,9.38
