student_id,5th_score,10th_score,hours_studied,mother_edu,female
1,0.4301,78.434,10.15,8,1
2,-0.171,65.611,12.13,12.8,0
3,-0.2439,63.002,15.32,8.1,0
4,0.4731,79.124,14.22,10.7,1
5,0.6449,72.579,15.78,11.1,0
6,1.1556,92.466,14.52,8.6,0
7,-2.0595,7.212,10.44,6.5,0
8,0.3685,76.74,16.59,7.1,0
9,0.2278,69.384,11.72,8.7,1
10,1.7718,89.444,14.56,14.1,0
11,-1.0165,48.839,6.4,10,1
12,0.2584,70.87,13.1,8.9,1
13,-1.3683,51.907,10.38,9.7,1
14,-0.0303,70.592,10.2,9.1,1
15,1.4144,91.337,11.6,11.4,1
16,1.3688,88.723,13.89,11.8,0
17,0.5164,76.749,12.06,8.9,0
18,1.238,82.402,8.51,12,0
19,-1.2384,49.267,8.72,10.1,1
20,-1.0108,53.384,11.59,10.8,1
21,-0.95,57.234,9.38,13.6,1
22,-0.0694,68.18,12.19,10.7,0
23,0.5716,83.557,16.41,8.5,1
24,0.9762,72.943,16.42,11.9,0
25,-1.3495,47.845,6.96,8,1
26,0.3419,84.707,10.23,8.5,1
27,-2.0845,23.966,8.48,7.2,0
28,-0.6798,60.699,12.4,9.5,1
29,1.1998,76.163,11.25,10,0
30,-1.3435,38.898,11.07,7.7,0
31,0.377,70.237,13.12,8,1
32,0.865,72.027,14.07,10.5,1
33,-0.0366,68.827,13.12,9.6,0
34,1.0039,85.589,11.27,11.9,1
35,0.3392,76.583,11.73,8.2,0
36,0.4549,77.85,13.39,13.3,0
37,0.0504,69.268,10.31,10.3,0
38,0.9318,77.412,15,10.5,0
39,0.1174,74.357,15.28,7.8,0
40,0.6553,88.22,15.04,7.1,0
41,1.6956,82.5,14.48,11.1,1
42,2.2504,80.315,16.16,11,1
43,0.2107,75.646,15.39,9.5,0
44,-1.5532,56.664,9.52,8,0
45,2.3017,91.89,14.42,10.4,1
46,0.3074,63.981,15.71,13,1
47,0.1714,72.123,14.3,8.1,1
48,-1.1467,57.649,9.99,13.1,1
49,-0.3383,60.948,4.24,9.4,1
50,-0.2517,60.727,13,10.3,0
51,0.3473,76.196,17.08,9.9,0
52,-0.5694,61.444,14.07,11.4,1
53,-0.7903,58.477,11.99,10.5,1
54,1.0422,84.201,12.22,13.7,0
55,0.384,68.959,11.69,11.8,0
56,1.1237,77.636,12.47,11.9,1
57,1.657,94.402,14.25,10.8,1
58,-0.1578,62.247,11.26,12.2,1
59,0.0836,74.072,11.01,13.1,1
60,-1.0927,41.6,14.14,11.2,1
61,0.0399,74.435,11.18,8.8,0
62,1.0012,79.647,11.19,9,0
63,0.2079,84.915,15.76,11.9,0
64,-1.7238,30.957,10.56,9.7,0
65,0.8076,73.876,13.83,9.8,1
66,0.2335,77.033,18.75,7.6,0
67,-0.2063,58.5,11.54,11.7,0
68,0.4945,69.514,10.37,12,0
69,-1.3618,41.6,6.63,11.7,0
70,-0.4427,52.134,7.91,7.2,0
71,-2.0162,12.108,3.3,4.1,1
72,-0.6383,65.292,12.75,10.9,1
73,-1.0992,55.736,15.44,8.3,0
74,-1.53,40.228,5.08,12,0
75,0.8383,85.279,14.59,11.9,1
76,-1.9177,22.783,9.16,9.6,0
77,-1.0691,50.291,8.48,11.1,0
78,-0.5109,50.91,10.43,12.6,1
79,0.9395,95.216,17.42,8.3,0
80,0.8367,76.288,10.85,10.8,0
81,-0.1888,61.07,7.54,10.1,0
82,0.6523,82.034,16.77,9.1,0
83,0.5868,67.623,10.95,10.5,0
84,-0.7496,61.145,9.74,10.7,0
85,0.2524,67.557,10.82,10.4,0
86,1.0971,82.431,14.19,8.2,0
87,0.2101,60.444,8.99,9,0
88,0.2475,83.469,12.24,9,0
89,-0.7816,55.737,7.86,8.4,0
90,0.2232,67.55,9.33,10.1,1
91,0.5719,66.115,12.51,10.7,1
92,-0.5031,57.844,8.82,9.8,1
93,1.1883,73.645,5.26,14.1,0
94,-0.0283,63.899,7,10.3,0
95,-1.2647,55.848,11.25,6.2,1
96,0.5604,77.643,15.95,10.6,1
97,-0.2745,72.276,13.88,12.3,0
98,-0.0245,66.918,11.94,6.9,0
99,-1.248,40.95,9.13,9.3,0
100,1.3802,73.847,10.49,7.9,0
101,1.1505,85.471,12.49,10.9,1
102,1.137,67.427,11.44,12.8,0
103,0.3407,69.894,11.39,6.5,1
104,0.576,75.654,16.24,10.8,0
105,1.5425,84.477,15.18,12.8,1
106,0.3501,74.239,11.28,12.4,1
107,1.7468,83.598,14.53,14.9,0
108,0.824,84.752,13.39,14.2,1
109,0.3353,79.239,12.62,9.9,1
110,-0.3078,62.806,11.24,10.7,0
111,0.6847,82.968,14,11.8,1
112,-0.0785,66.183,13.33,10.8,1
113,-0.619,62.391,10.16,8.9,1
114,-0.8606,56.779,8.1,10.6,0
115,1.4221,93.713,8.33,12.6,1
116,-2.3799,0.551,6.34,10.8,1
117,1.1293,84.092,12.92,10.2,0
118,-1.0084,63.734,8.61,12.8,0
119,1.0542,74.918,8.36,14.3,1
